# Radius () 	 Magnitude Contrast 	 Error
 0.069 	  0.808 	  0.000 
 0.138 	  1.212 	  0.885 
 0.207 	  2.475 	  0.795 
 0.276 	  2.525 	  0.569 
 0.345 	  2.828 	  0.382 
 0.414 	  3.182 	  0.328 
 0.483 	  3.232 	  0.422 
 0.552 	  3.333 	  0.385 
 0.621 	  3.333 	  0.303 
 0.690 	  3.333 	  0.328 
 0.759 	  3.485 	  0.387 
 0.828 	  3.434 	  0.297 
 0.897 	  3.687 	  0.456 
 0.966 	  3.737 	  0.309 
 1.035 	  3.889 	  0.235 
 1.104 	  3.939 	  0.330 
 1.173 	  3.990 	  0.391 
 1.242 	  4.091 	  0.425 
 1.311 	  4.242 	  0.451 
 1.380 	  4.242 	  0.377 
 1.449 	  4.343 	  0.435 
 1.518 	  4.495 	  0.412 
 1.587 	  4.545 	  0.400 
 1.656 	  4.444 	  0.598 
 1.725 	  4.697 	  0.409 
 1.794 	  4.697 	  0.333 
 1.863 	  4.646 	  0.347 
 1.932 	  4.747 	  0.340 
 2.001 	  4.848 	  0.313 
 2.070 	  4.747 	  0.323 
 2.139 	  4.848 	  0.377 
 2.208 	  4.848 	  0.411 
 2.277 	  4.747 	  0.461 
 2.346 	  4.949 	  0.510 
 2.415 	  4.899 	  0.433 
 2.484 	  4.949 	  0.406 
 2.553 	  4.848 	  0.388 
 2.622 	  4.899 	  0.416 
 2.691 	  4.848 	  0.580 
 2.760 	  4.747 	  0.352 
 2.829 	  4.848 	  0.472 
 2.898 	  4.899 	  0.449 
 2.967 	  4.848 	  0.444 
 3.036 	  5.000 	  0.704 
 3.105 	  4.747 	  0.384 
 3.174 	  4.798 	  0.398 
 3.243 	  4.798 	  0.526 
 3.312 	  5.000 	  0.386 
 3.381 	  4.949 	  0.418 
 3.450 	  4.949 	  0.433 
 3.519 	  4.848 	  0.356 
 3.588 	  4.747 	  0.498 
 3.657 	  4.747 	  0.480 
 3.726 	  4.747 	  0.360 
 3.795 	  4.697 	  0.403 
 3.864 	  4.798 	  0.350 
 3.933 	  4.899 	  0.386 
 4.002 	  4.697 	  0.555 
 4.071 	  4.848 	  0.277 
 4.140 	  4.747 	  0.381 
 4.209 	  4.646 	  0.342 
 4.278 	  4.646 	  0.285 
 4.347 	  4.747 	  0.416 
 4.416 	  4.747 	  0.470 
 4.485 	  4.848 	  0.317 
 4.554 	  4.646 	  0.467 
 4.623 	  4.747 	  0.373 
 4.692 	  4.747 	  0.404 
 4.761 	  4.747 	  0.516 
 4.830 	  4.697 	  0.401 
 4.899 	  4.747 	  0.422 
 4.968 	  4.747 	  0.391 
 5.037 	  4.646 	  0.369 
 5.106 	  4.545 	  0.398 
 5.175 	  4.646 	  0.373 
 5.244 	  4.848 	  0.326 
 5.313 	  4.646 	  0.334 
 5.382 	  4.646 	  0.452 
 5.451 	  4.596 	  0.552 
