NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
Kepler-17 b,2.47943,0.102045,0.102045,0.102045,1.33,0.04,0.04,0.04,0.0267923,0.000461936,0.000461936,0.000461936,1.4857108,2e-7,2e-7,2e-7,0,0.011,0,0.0055,1.3,0.14,0.14,0.14,1.16,0.06,0.06,0.06,1.05,0.03,0.03,0.03,4.53,0.12,0.12,0.12,5781,85,85,85,0.26,0.1,0.1,0.1,Desert 2011,http://adsabs.harvard.edu/abs/2011ApJS..197...14D
Kepler-387 c,0.00192504,0.00121513,0.00121513,0.00121513,0.0794005,0.0196271,0.0196271,0.0196271,0.101652,0.0016942,0.0016942,0.0016942,11.837549,0.000329,0.000329,0.000329,,,,,,,,,,,,,1.046,0.24,0.24,0.24,4.353,0.15,0.15,0.15,5774,154,154,154,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-96 b,0.48,0.03,0.03,0.03,1.2,0.06,0.06,0.06,0.0453489,0.00128346,0.00128346,0.00128346,3.4252602,0.0000027,0.0000027,0.0000027,0,,,,0.28,0.04,0.04,0.04,1.06,0.09,0.09,0.09,1.05,0.05,0.05,0.05,4.25,0.15,0.15,0.15,5540,140,140,140,0.14,0.19,0.19,0.19,Hellier 2013,http://adsabs.harvard.edu/abs/2014MNRAS.440.1982H
Kepler-387 b,0.00324127,0.00197794,0.00197794,0.00197794,0.0918904,0.0214114,0.0214114,0.0214114,0.0701869,0.00116978,0.00116978,0.00116978,6.791636,0.000094,0.000094,0.000094,,,,,,,,,,,,,1.046,0.24,0.24,0.24,4.353,0.15,0.15,0.15,5774,154,154,154,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-365 c,0.0121773,0.0104013,0.0104013,0.0104013,0.146311,0.0686948,0.0686948,0.0686948,0.13334,0.00222234,0.00222234,0.00222234,17.784129,0.000215,0.000215,0.000215,,,,,,,,,,,,,1.048,0.487,0.487,0.487,4.434,0.3,0.3,0.3,6012,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-366 c,0.0131908,0.0104782,0.0104782,0.0104782,0.159693,0.0722634,0.0722634,0.0722634,0.1055,0.00175834,0.00175834,0.00175834,12.51616,0.000095,0.000095,0.000095,,,,,,,,,,,,,1.048,0.47,0.47,0.47,4.452,0.3,0.3,0.3,6209,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
WASP-83 b,0.3,0.03,0.03,0.03,1.04,0.08,0.05,0.065,0.0590285,0.00159536,0.00159536,0.00159536,4.971252,0.000015,0.000015,0.000015,0,,,,0.35,0.07,0.07,0.07,1.11,0.09,0.09,0.09,1.05,0.06,0.04000000000000001,0.05,4.34,0.08,0.08,0.08,5480,110,110,110,0.29,0.12,0.12,0.12,Hellier 2015,http://adsabs.harvard.edu/abs/2015AJ....150...18H
Kepler-366 b,0.0107805,0.00946002,0.00946002,0.00946002,0.130252,0.0588813,0.0588813,0.0588813,0.043221,0.000720351,0.000720351,0.000720351,3.281959,0.000022,0.000022,0.000022,,,,,,,,,,,,,1.048,0.47,0.47,0.47,4.452,0.3,0.3,0.3,6209,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-10 b,0.0142824,0.00392831,0.00392831,0.00392831,0.126327,0.00294406,0.0032116999999999996,0.00307788,0.0167573,0.000374465,0.000374465,0.000374465,0.837495,0.000004,0.000005,0.0000045,0,,,,8.8,2.1,2.9,2.5,0.895,0.06,0.06,0.06,1.056,0.021,0.021,0.021,4.341,0.012,0.012,0.012,5627,44,44,44,-0.15,0.04,0.04,0.04,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B
Kepler-10 c,0.054117,0.005978,0.005978,0.005978,0.209653,0.0035686,0.01249,0.0080293,0.239656,0.00535544,0.00535544,0.00535544,45.29485,0.00065,0.00076,0.000705,,,,,5,5,5,5,0.895,0.06,0.06,0.06,1.056,0.021,0.021,0.021,4.341,0.012,0.012,0.012,5627,44,44,44,-0.15,0.04,0.04,0.04,Fressin 2011,http://adsabs.harvard.edu/abs/2011ApJS..197....5F
