NAME,MASS,MASSUPPER,MASSLOWER,UMASS,R,RUPPER,RLOWER,UR,A,AUPPER,ALOWER,UA,PER,PERUPPER,PERLOWER,UPER,ECC,ECCUPPER,ECCLOWER,UECC,DENSITY,DENSITYUPPER,DENSITYLOWER,UDENSITY,MSTAR,MSTARUPPER,MSTARLOWER,UMSTAR,RSTAR,RSTARUPPER,RSTARLOWER,URSTAR,LOGG,LOGGUPPER,LOGGLOWER,ULOGG,TEFF,TEFFUPPER,TEFFLOWER,UTEFF,FE,FEUPPER,FELOWER,UFE,TRANSITREF,TRANSITURL
,mjupiter,mjupiter,mjupiter,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,au,au,au,au,day,day,day,day,,,,,g/cm^3,g/cm^3,g/cm^3,g/cm^3,msun,msun,msun,msun,rsun,rsun,rsun,rsun,,,,,k,k,k,k,,,,,,
XO-4 b,1.60254,0.0795209,0.0795209,0.0795209,1.33,0.05,0.05,0.05,0.05524,0.000920667,0.000920667,0.000920667,4.1250828,0.000004,0.000004,0.000004,0,,,,0.903229,0.111296,0.111296,0.111296,1.32,,,,,,,,,,,,,,,,,,,,Narita 2010,http://adsabs.harvard.edu/abs/2010PASJ...62L..61N
Kepler-407 b,0,0.00193679,3.9999999998461405e-9,0.000968397,0.095459,0.00178428,0.00178428,0.00178428,0.0149747,0.000299494,0.000299494,0.000299494,0.6693109,0.0000049,0.0000049,0.0000049,0,,,,0.29,5.7,5.7,5.7,1,0.06,0.06,0.06,0.1,0.07,0.07,0.07,4.426,0.06,0.06,0.06,5476,75,75,75,0.33,0.07,0.07,0.07,Marcy 2014,http://adsabs.harvard.edu/abs/2014ApJS..210...20M
Kepler-42 d,0.000404706,0.000292984,0.000292984,0.000292984,0.0508067,0.0160442,0.0160442,0.0160442,0.0150222,0.00192592,0.00192592,0.00192592,1.865169,0.000014,0.000014,0.000014,,,,,,,,,0.13,0.05,0.05,0.05,0.17,0.04,0.04,0.04,,,,,3068,174,174,174,-0.48,0.17,0.17,0.17,Muirhead 2012,http://adsabs.harvard.edu/abs/2012ApJ...747..144M
Kepler-42 c,0.000954523,0.000639169,0.000639169,0.000639169,0.0650682,0.0178269,0.0178269,0.0178269,0.00585017,0.000750022,0.000750022,0.000750022,0.45328509,9.7e-7,9.7e-7,9.7e-7,,,,,,,,,0.13,0.05,0.05,0.05,0.17,0.04,0.04,0.04,,,,,3068,174,174,174,-0.48,0.17,0.17,0.17,Muirhead 2012,http://adsabs.harvard.edu/abs/2012ApJ...747..144M
Kepler-42 b,0.0012042,0.000823366,0.000823366,0.000823366,0.0695249,0.0196096,0.0196096,0.0196096,0.0112809,0.00144627,0.00144627,0.00144627,1.2137672,0.0000046,0.0000046,0.0000046,,,,,,,,,0.13,0.05,0.05,0.05,0.17,0.04,0.04,0.04,,,,,3068,174,174,174,-0.48,0.17,0.17,0.17,Muirhead 2012,http://adsabs.harvard.edu/abs/2012ApJ...747..144M
Kepler-445 d,0.00688654,0.00152574,0.00152574,0.00152574,0.114,0.008,0.008,0.008,0.044761,0.00331563,0.00331563,0.00331563,8.15275,0.0004,0.0004,0.0004,0,,,,,,,,0.18,0.04,0.04,0.04,0.21,0.03,0.03,0.03,,,,,3157,60,60,60,0.27,0.13,0.13,0.13,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
Kepler-445 c,0.020474,0.00399259,0.00399259,0.00399259,0.229,0.033,0.033,0.033,0.0317534,0.0023521,0.0023521,0.0023521,4.871229,0.000011,0.000011,0.000011,0,,,,,,,,0.18,0.04,0.04,0.04,0.21,0.03,0.03,0.03,,,,,3157,60,60,60,0.27,0.13,0.13,0.13,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
Kepler-445 b,0.0120099,0.00310298,0.00310298,0.00310298,0.144,0.021,0.021,0.021,0.022904,0.00169659,0.00169659,0.00169659,2.984151,0.000011,0.000011,0.000011,0,,,,,,,,0.18,0.04,0.04,0.04,0.21,0.03,0.03,0.03,,,,,3157,60,60,60,0.27,0.13,0.13,0.13,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
GJ 1214 b,0.0203507,0.00313354,0.00313354,0.00313354,0.2389,0.01159,0.01159,0.01159,0.0143253,0.000577878,0.000577878,0.000577878,1.58040482,2.4e-7,2.4e-7,2.4e-7,0,,,,1.87,0.4,0.4,0.4,0.157,0.019,0.019,0.019,0.211,0.0097,0.0097,0.0097,4.991,0.029,0.029,0.029,3026,130,130,130,,,,,Carter 2011,http://adsabs.harvard.edu/abs/2011ApJ...730...82C
Kepler-446 c,0.00452953,0.00207644,0.00207644,0.00207644,0.101,0.016,0.016,0.016,0.0247723,0.00187669,0.00187669,0.00187669,3.036179,0.0000055,0.0000055,0.0000055,0,,,,,,,,0.22,0.05,0.05,0.05,0.24,0.04,0.04,0.04,,,,,3359,60,60,60,-0.3,0.12,0.12,0.12,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
Kepler-446 b,0.0115145,0.00462792,0.00462792,0.00462792,0.137,0.023,0.023,0.023,0.0159282,0.00120668,0.00120668,0.00120668,1.565409,0.0000033,0.0000033,0.0000033,0,,,,,,,,0.22,0.05,0.05,0.05,0.24,0.04,0.04,0.04,,,,,3359,60,60,60,-0.3,0.12,0.12,0.12,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
Kepler-446 d,0.00890695,0.00405586,0.00405586,0.00405586,0.123,0.02,0.02,0.02,0.0352283,0.00266881,0.00266881,0.00266881,5.148921,0.000022,0.000022,0.000022,0,,,,,,,,0.22,0.05,0.05,0.05,0.24,0.04,0.04,0.04,,,,,3359,60,60,60,-0.3,0.12,0.12,0.12,Muirhead 2015,http://adsabs.harvard.edu/abs/2015ApJ...801...18M
Kepler-138 b,0.00021,0.00019,0.00010999999999999996,0.00015,0.047,0.003,0.003,0.003,0.074609,0.0026254,0.0026254,0.0026254,10.312364,0.000036,0.000036,0.000036,,,,,2.6,2.4,1.5,1.95,0.521,0.055,0.055,0.055,0.442,0.024,0.024,0.024,4.886,0.055,0.055,0.055,3841,49,49,49,-0.28,0.099,0.099,0.099,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
GJ 436 b,0.0726979,0.00318297,0.00318297,0.00318297,0.3767,0.0082,0.009199999999999998,0.0087,0.0287188,0.000478647,0.000478647,0.000478647,2.64385,0.00009,0.00009,0.00009,0.16,0.019,0.019,0.019,1.69,0.14,0.12,0.13,0.452,0.014,0.011999999999999999,0.013,0.464,0.009,0.011000000000000001,0.01,4.843,0.018,0.011000000000000003,0.0145,3350,300,300,300,,0,0,0,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T
Kepler-369 b,0.00450004,0.000787671,0.000787671,0.000787671,0.100812,0.00535284,0.00535284,0.00535284,0.0382537,0.000637562,0.000637562,0.000637562,2.732756,0.000009,0.000009,0.000009,,,,,,,,,,,,,0.471,0.014,0.014,0.014,4.785,0.1,0.1,0.1,3591,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-369 c,0.00960182,0.00130353,0.00130353,0.00130353,0.125792,0.00535284,0.00535284,0.00535284,0.118353,0.00197254,0.00197254,0.00197254,14.871572,0.000083,0.000083,0.000083,,,,,,,,,,,,,0.471,0.014,0.014,0.014,4.785,0.1,0.1,0.1,3591,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-186 c,0.00636705,0.00215397,0.00215397,0.00215397,0.111418,0.012479,0.012479,0.012479,0.0574114,0.00220197,0.00220197,0.00220197,7.267302,0.000012,0.000011,0.0000115,0.03,0.25,0,0.125,,,,,0.478,0.055,0.055,0.055,0.472,0.052,0.052,0.052,4.77,0.069,0.069,0.069,3788,54,54,54,-0.28,0.1,0.1,0.1,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-186 e,0.00672298,0.00230246,0.00230246,0.00230246,0.113201,0.0134,0.0124,0.0129,0.121623,0.00466475,0.00466475,0.00466475,22.407793,0.000123,0.000123,0.000123,0.03,0.254,0,0.127,,,,,0.478,0.055,0.055,0.055,0.472,0.052,0.052,0.052,4.77,0.069,0.069,0.069,3788,54,54,54,-0.28,0.1,0.1,0.1,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-186 d,0.00934866,0.00315425,0.00315425,0.00315425,0.12479,0.01426,0.01426,0.01426,0.0860831,0.00330165,0.00330165,0.00330165,13.342996,0.000025,0.000023999999999999997,0.0000245,0.03,0.256,0,0.128,,,,,0.478,0.055,0.055,0.055,0.472,0.052,0.052,0.052,4.77,0.069,0.069,0.069,3788,54,54,54,-0.28,0.1,0.1,0.1,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-186 f,0.00421308,0.001558,0.001558,0.001558,0.098939,0.012479,0.011587,0.012033,0.392576,0.015057,0.015057,0.015057,129.9459,0.0012,0.0012,0.0012,0.01,0.35,0,0.175,,,,,0.478,0.055,0.055,0.055,0.472,0.052,0.052,0.052,4.77,0.069,0.069,0.069,3788,54,54,54,-0.28,0.1,0.1,0.1,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-186 b,0.00370062,0.00128052,0.00128052,0.00128052,0.0953739,0.0106961,0.0106961,0.0106961,0.0378277,0.00145085,0.00145085,0.00145085,3.8867907,0.0000063,0.000006200000000000001,0.00000625,0.04,0.248,0,0.124,,,,,0.478,0.055,0.055,0.055,0.472,0.052,0.052,0.052,4.77,0.069,0.069,0.069,3788,54,54,54,-0.28,0.1,0.1,0.1,Quintana 2014,http://adsabs.harvard.edu/abs/2014arXiv1404.5667Q
Kepler-225 c,0.0135483,0.000704539,0.000704539,0.000704539,0.164154,0.0089214,0.0089214,0.0089214,0.138343,0.00230571,0.00230571,0.00230571,18.794234,0.000076,0.000076,0.000076,,,,,,,,,,,,,0.48,0.02,0.02,0.02,4.783,0.2,0.2,0.2,3682,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-225 b,0.00554835,0.00104832,0.00104832,0.00104832,0.107057,0.00624498,0.00624498,0.00624498,0.0698236,0.00116373,0.00116373,0.00116373,6.738975,0.000041,0.000041,0.000041,,,,,,,,,,,,,0.48,0.02,0.02,0.02,4.783,0.2,0.2,0.2,3682,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-249 d,0.0117295,0.0016664,0.0016664,0.0016664,0.140066,0.01249,0.01249,0.01249,0.120974,0.00201624,0.00201624,0.00201624,15.368459,0.00007,0.00007,0.00007,,,,,,,,,,,,,0.482,0.018,0.018,0.018,4.777,0.2,0.2,0.2,3568,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-249 c,0.0120453,0.00221461,0.00221461,0.00221461,0.134713,0.00802926,0.00802926,0.00802926,0.0723886,0.00120648,0.00120648,0.00120648,7.113702,0.000018,0.000018,0.000018,,,,,,,,,,,,,0.482,0.018,0.018,0.018,4.777,0.2,0.2,0.2,3568,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-249 b,0.00396389,0.000608778,0.000608778,0.000608778,0.0972433,0.0044607,0.0044607,0.0044607,0.0434366,0.000723943,0.000723943,0.000723943,3.306539,0.00001,0.00001,0.00001,,,,,,,,,,,,,0.482,0.018,0.018,0.018,4.777,0.2,0.2,0.2,3568,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-303 c,0.00464108,0.00116953,0.00116953,0.00116953,0.101704,0.00802926,0.00802926,0.00802926,0.0720317,0.00120053,0.00120053,0.00120053,7.061149,0.000019,0.000019,0.000019,,,,,,,,,,,,,0.485,0.025,0.025,0.025,4.768,0.2,0.2,0.2,3944,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-303 b,0.00192504,0.000356443,0.000356443,0.000356443,0.0794005,0.0044607,0.0044607,0.0044607,0.0304113,0.000506854,0.000506854,0.000506854,1.937055,0.000004,0.000004,0.000004,,,,,,,,,,,,,0.485,0.025,0.025,0.025,4.768,0.2,0.2,0.2,3944,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-231 c,0.0142208,0.00137704,0.00137704,0.00137704,0.172183,0.0169507,0.0169507,0.0169507,0.140675,0.00234459,0.00234459,0.00234459,19.271566,0.000099,0.000099,0.000099,,,,,,,,,,,,,0.49,0.021,0.021,0.021,4.779,0.2,0.2,0.2,3767,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-231 b,0.0127755,0.000791865,0.000791865,0.000791865,0.15434,0.0107057,0.0107057,0.0107057,0.0912341,0.00152057,0.00152057,0.00152057,10.065275,0.000027,0.000027,0.000027,,,,,,,,,,,,,0.49,0.021,0.021,0.021,4.779,0.2,0.2,0.2,3767,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-331 d,0.0121773,0.00115057,0.00115057,0.00115057,0.146311,0.0151664,0.0151664,0.0151664,0.197812,0.00329687,0.00329687,0.00329687,32.134328,0.000216,0.000216,0.000216,,,,,,,,,,,,,0.492,0.047,0.047,0.047,4.768,0.3,0.3,0.3,4347,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-331 c,0.0135483,0.00130591,0.00130591,0.00130591,0.164154,0.0169507,0.0169507,0.0169507,0.130814,0.00218023,0.00218023,0.00218023,17.28111,0.000064,0.000064,0.000064,,,,,,,,,,,,,0.492,0.047,0.047,0.047,4.768,0.3,0.3,0.3,4347,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-327 b,0.00422638,0.000635761,0.000635761,0.000635761,0.0990276,0.0044607,0.0044607,0.0044607,0.0365246,0.000608743,0.000608743,0.000608743,2.549575,0.000006,0.000006,0.000006,,,,,,,,,,,,,0.492,0.016,0.016,0.016,4.758,0.1,0.1,0.1,3799,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-327 c,0.00324127,0.000528604,0.000528604,0.000528604,0.0918904,0.0044607,0.0044607,0.0044607,0.0588339,0.000980566,0.000980566,0.000980566,5.212333,0.000019,0.000019,0.000019,,,,,,,,,,,,,0.492,0.016,0.016,0.016,4.758,0.1,0.1,0.1,3799,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-331 b,0.013404,0.00129159,0.00129159,0.00129159,0.16237,0.0169507,0.0169507,0.0169507,0.0812396,0.00135399,0.00135399,0.00135399,8.457496,0.000024,0.000024,0.000024,,,,,,,,,,,,,0.492,0.047,0.047,0.047,4.768,0.3,0.3,0.3,4347,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-327 d,0.0127755,0.000663094,0.000663094,0.000663094,0.15434,0.0089214,0.0089214,0.0089214,0.113517,0.00189194,0.00189194,0.00189194,13.969457,0.000031,0.000031,0.000031,,,,,,,,,,,,,0.492,0.016,0.016,0.016,4.758,0.1,0.1,0.1,3799,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-54 c,0.00602351,0.00602351,0.00602351,0.00602351,0.109635,,,,0.0822829,0.00137138,0.00137138,0.00137138,12.0717249,0.00029,0.00029,0.00029,,,,,,,,,0.51,,,,0.5,,,,4.75,,,,3705,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
Kepler-54 b,0.015593,0.015593,0.015593,0.015593,0.187182,,,,0.0626016,0.00104336,0.00104336,0.00104336,8.0109434,0.000069,0.000069,0.000069,,,,,,,,,0.51,,,,0.5,,,,4.75,,,,3705,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
GJ 3470 b,0.0440093,0.00515696,0.00515696,0.00515696,0.374365,0.0534807,0.0534807,0.0534807,0.0356088,0.00146999,0.00146999,0.00146999,3.336649,0.000002,0.000002,0.000002,0,,,,1.07,0.43,0.43,0.43,0.541,0.067,0.067,0.067,0.503,0.063,0.063,0.063,,,,,3600,200,200,200,,,,,Nascimbeni 2013,http://adsabs.harvard.edu/abs/2013A%26A...559A..32N
Kepler-353 c,0.00893492,0.00143988,0.00143988,0.00143988,0.123115,0.00624498,0.00624498,0.00624498,0.0809409,0.00134901,0.00134901,0.00134901,8.410894,0.000039,0.000039,0.000039,,,,,,,,,,,,,0.504,0.016,0.016,0.016,4.751,0.1,0.1,0.1,3903,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-353 b,0.00192504,0.000421425,0.000421425,0.000421425,0.0794005,0.00535284,0.00535284,0.00535284,0.0631426,0.00105238,0.00105238,0.00105238,5.795278,0.000055,0.000055,0.000055,,,,,,,,,,,,,0.504,0.016,0.016,0.016,4.751,0.1,0.1,0.1,3903,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
KOI-4427 b,0.0135484,0.00156467,0.00156467,0.00156467,0.164155,0.0196272,0.0214116,0.0205194,0.441345,0.014264,0.014264,0.014264,147.6606,0.0011,0.0014,0.00125,0,,,,,,,,0.526,0.04,0.06199999999999999,0.051,0.505,0.038,0.065,0.0515,4.751,0.067,0.03,0.0485,3813,112,112,112,-0.07,0.14,0.14,0.14,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T
Kepler-236 c,0.0147725,0.00129655,0.00129655,0.00129655,0.178428,0.0151664,0.0151664,0.0151664,0.162691,0.00271151,0.00271151,0.00271151,23.968127,0.000174,0.000174,0.000174,,,,,,,,,,,,,0.51,0.019,0.019,0.019,4.753,0.2,0.2,0.2,3750,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-236 b,0.0117295,0.00119145,0.00119145,0.00119145,0.140066,0.0107057,0.0107057,0.0107057,0.0801996,0.00133666,0.00133666,0.00133666,8.295611,0.000032,0.000032,0.000032,,,,,,,,,,,,,0.51,0.019,0.019,0.019,4.753,0.2,0.2,0.2,3750,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-125 c,0.00100422,0.000217762,0.000217762,0.000217762,0.0660184,0.0044607,0.0044607,0.0044607,0.0629914,0.00104986,0.00104986,0.00104986,5.774464,0.000047,0.000047,0.000047,,,,,,,,,,,,,0.512,0.021,0.021,0.021,4.744,0.2,0.2,0.2,3810,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-125 b,0.0182069,0.00102512,0.00102512,0.00102512,0.211437,0.0089214,0.0089214,0.0089214,0.0506571,0.000844286,0.000844286,0.000844286,4.164389,0.000003,0.000003,0.000003,,,,,,,,,,,,,0.512,0.021,0.021,0.021,4.744,0.2,0.2,0.2,3810,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-316 c,0.00493175,0.00157668,0.00157668,0.00157668,0.103488,0.0107057,0.0107057,0.0107057,0.0704356,0.00117393,0.00117393,0.00117393,6.827766,0.000034,0.000034,0.000034,,,,,,,,,,,,,0.52,0.052,0.052,0.052,4.743,0.3,0.3,0.3,4204,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-52 b,0.015593,0.015593,0.015593,0.015593,0.187182,,,,0.0630945,0.00105157,0.00105157,0.00105157,7.8773565,0.000038,0.000038,0.000038,,,,,,,,,0.54,,,,0.52,,,,4.74,,,,4075,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
Kepler-438 b,0.00436191,0.00188817,0.00188817,0.00188817,0.0999205,0.0142744,0.0151664,0.0147204,0.171702,0.00536567,0.00536567,0.00536567,35.23319,0.00025,0.00029,0.00027,0,,,,,,,,0.544,0.041,0.06099999999999999,0.051,0.52,0.038,0.061000000000000006,0.0495,4.74,0.059,0.028999999999999998,0.044,3748,112,112,112,0.16,0.14,0.14,0.14,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T
Kepler-316 b,0.00359062,0.00116281,0.00116281,0.00116281,0.0945669,0.00981354,0.00981354,0.00981354,0.0335097,0.000558495,0.000558495,0.000558495,2.240508,0.000006,0.000006,0.000006,,,,,,,,,,,,,0.52,0.052,0.052,0.052,4.743,0.3,0.3,0.3,4204,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-52 c,0.0135364,0.0135364,0.0135364,0.0135364,0.16400700000000001,,,,0.10281,0.0017135,0.0017135,0.0017135,16.3850021,0.00014,0.00014,0.00014,,,,,,,,,0.54,,,,0.52,,,,4.74,,,,4075,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
Kepler-329 b,0.00937625,0.00459119,0.00459119,0.00459119,0.1249,0.0223035,0.0223035,0.0223035,0.0744278,0.00124046,0.00124046,0.00124046,7.416397,0.000046,0.000046,0.000046,,,,,,,,,,,,,0.523,0.052,0.052,0.052,4.74,0.3,0.3,0.3,4257,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-329 c,0.0142208,0.00204355,0.00204355,0.00204355,0.172183,0.0258721,0.0258721,0.0258721,0.137805,0.00229675,0.00229675,0.00229675,18.684737,0.000089,0.000089,0.000089,,,,,,,,,,,,,0.523,0.052,0.052,0.052,4.74,0.3,0.3,0.3,4257,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-32 d,0.0221838,0.00132217,0.00132217,0.00132217,0.240663,0.00891345,0.00891345,0.00891345,0.128069,0.00213448,0.00213448,0.00213448,22.7802,0.0005,0.0005,0.0005,0,,,,,,,,0.54,0.02,0.02,0.02,0.53,0.02,0.02,0.02,4.64,0.3,0.3,0.3,3793,80,74,77,-0.01,0.09,0.09,0.09,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-32 b,0.0165128,0.00173385,0.00173385,0.00173385,0.1963,0.0178,0.0178,0.0178,0.0520435,0.000867392,0.000867392,0.000867392,5.90124,0.0001,0.0001,0.0001,0,,,,,,,,0.54,0.02,0.02,0.02,0.53,0.02,0.02,0.02,4.64,0.3,0.3,0.3,3793,80,74,77,-0.01,0.09,0.09,0.09,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-49 b,0.0224607,0.0224607,0.0224607,0.0224607,0.242446,,,,0.0598092,0.000996821,0.000996821,0.000996821,7.2037945,0.000022,0.000022,0.000022,,,,,,,,,0.55,,,,0.53,,,,4.73,,,,3974,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
Kepler-32 e,0.0117511,0.00240278,0.00240278,0.00240278,0.133702,0.00891345,0.00891345,0.00891345,0.0323795,0.000539663,0.000539663,0.000539663,2.896,0.0003,0.0003,0.0003,,,,,,,,,0.54,0.02,0.02,0.02,0.53,0.02,0.02,0.02,4.64,0.3,0.3,0.3,3793,80,74,77,-0.01,0.09,0.09,0.09,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-49 c,0.0202381,0.0202381,0.0202381,0.0202381,0.227293,,,,0.07889,0.00131483,0.00131483,0.00131483,10.9129343,0.000069,0.000069,0.000069,,,,,,,,,0.55,,,,0.53,,,,4.73,,,,3974,,,,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S
Kepler-32 c,0.0147699,0.00150731,0.00150731,0.00150731,0.1784,0.0178,0.0178,0.0178,0.0676835,0.00112806,0.00112806,0.00112806,8.7522,0.0003,0.0003,0.0003,0,,,,,,,,0.54,0.02,0.02,0.02,0.53,0.02,0.02,0.02,4.64,0.3,0.3,0.3,3793,80,74,77,-0.01,0.09,0.09,0.09,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-32 f,0.00143611,0.000386815,0.000386815,0.000386815,0.0730903,0.00623942,0.00623942,0.00623942,0.0130732,0.000217888,0.000217888,0.000217888,0.74296,0.00007,0.00007,0.00007,0,,,,,,,,0.54,0.02,0.02,0.02,0.53,0.02,0.02,0.02,4.64,0.3,0.3,0.3,3793,80,74,77,-0.01,0.09,0.09,0.09,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F
Kepler-333 b,0.00769114,0.00275925,0.00275925,0.00275925,0.117763,0.0142742,0.0142742,0.0142742,0.105697,0.00176162,0.00176162,0.00176162,12.551158,0.000044,0.000044,0.000044,,,,,,,,,,,,,0.534,0.054,0.054,0.054,4.732,0.3,0.3,0.3,4259,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-120 b,0.0160511,0.00143899,0.00143899,0.00143899,0.19181,0.0151664,0.0151664,0.0151664,0.0668458,0.0011141,0.0011141,0.0011141,6.312501,0.000008,0.000008,0.000008,,,,,,,,,,,,,0.534,0.028,0.028,0.028,4.732,0.2,0.2,0.2,4096,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-120 c,0.0125754,0.00227667,0.00227667,0.00227667,0.136497,0.00802926,0.00802926,0.00802926,0.107059,0.00178432,0.00178432,0.00178432,12.794585,0.000044,0.000044,0.000044,,,,,,,,,,,,,0.534,0.028,0.028,0.028,4.732,0.2,0.2,0.2,4096,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-333 c,0.00422638,0.00214325,0.00214325,0.00214325,0.0990276,0.0178428,0.0178428,0.0178428,0.163234,0.00272056,0.00272056,0.00272056,24.08821,0.000207,0.000207,0.000207,,,,,,,,,,,,,0.534,0.054,0.054,0.054,4.732,0.3,0.3,0.3,4259,200,200,200,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-205 b,0.0120453,0.00332593,0.00332593,0.00332593,0.134713,0.01249,0.01249,0.01249,0.038467,0.000641116,0.000641116,0.000641116,2.75564,0.000002,0.000002,0.000002,,,,,,,,,,,,,0.546,0.022,0.022,0.022,4.735,0.15,0.15,0.15,4321,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-205 c,0.0121773,0.000131459,0.000131459,0.000131459,0.146311,0.0107057,0.0107057,0.0107057,0.145668,0.0024278,0.0024278,0.0024278,20.306546,0.000038,0.000038,0.000038,,,,,,,,,,,,,0.546,0.022,0.022,0.022,4.735,0.15,0.15,0.15,4321,100,100,100,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
Kepler-252 c,0.0160511,0.00111604,0.00111604,0.00111604,0.19181,0.0115978,0.0115978,0.0115978,0.0959074,0.00159846,0.00159846,0.00159846,10.848463,0.000015,0.000015,0.000015,,,,,,,,,,,,,0.549,0.032,0.032,0.032,4.721,0.2,0.2,0.2,4208,150,150,150,,,,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R
